id,age,country,practice_1,practice_2,time_taken,trial_correct,set_id,sentence,question,sent_type,quest_type,order,correct,origins,group_id,origin
6ea6480fdf0e95ad44bd08f4495c9b9f,41,UK,True,True,2650,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
342a54d73384b9b2ef9ff8cd021a40c5,56,United Kingdom,True,True,3429,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
99bc9e2fe655d276950768c78f5c3f29,25,America,True,True,1909,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
52b1f51213e3cf1f59d41612feb8d0f3,40,UK,True,True,1364,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
a9fbbee25ba67caae18653382e032413,43,United Kingdom,True,True,2537,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
101981a0f1fec54ba143fb7ad2259713,69,USA,True,True,3505,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
bc98778942756248850889f566257eb7,31,United Kingdom,True,True,2167,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
81d0f38f04ab98a5292982b1b5a98797,63,uk,True,True,3539,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
cb1cbdbfdce79ba24f43a2d3758c6009,37,United States,True,True,172,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
101113ac25ff73fe1638283581e6d77d,41,United Kingdom,True,True,3497,False,set_19,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,nonGP_prob,GP_question,,0,subj_obj,,
d6441524957c3a4690cdbc56fa33fb62,58,United States,True,True,1322,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
ac4fb9e6d9d27481863a2147bd824a96,45,USA,True,True,2021,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
eabfd5401f15a409ad9c907dbfd8b077,32,uk,True,True,1099,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
d31e6bedff4d7a12ae7373aa336b2fd0,38,United States,True,True,3876,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
c899338dbd24efb628deb603536277c4,50,Scotland,True,True,1255,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
3772800319af276ee2d7c1bdea3dcbee,54,USA,True,True,2340,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
0c75b30fe18577844168faecb1656210,69,United Kingdom,True,True,4620,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
8dd7b373e0a96763c3dc7344b5f159db,45,United Kingdom,True,True,1133,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
5f39027a3779eb2aea035ec1befa9f0b,35,United States,True,True,1879,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
371e1b4349f35e9f17564f6b27ade0d9,62,UK,True,True,2433,True,set_19,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,nonGP_prob,simple_question,,1,subj_obj,,
885b0ad39a7b3e0ea2f6cce832df5afc,54,UK,True,True,1827,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
ec90f1a4ff4de1fc0f6d609cbda904cb,22,united states of America,True,True,6000,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
2d2265d07d7cd311b95407bddecfb7e8,34,UK,True,True,2003,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
097f17b52098dd609a0afe2cafd3fad9,65,UK,True,True,1776,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
0e76de969cc023379e43cd5a48c76b42,66,UK,True,True,6172,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
fb140e31c4db7c8352753700bfbca805,21,UK,True,True,2948,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
7b7690bb38e0af26a22ecac0e21e32c9,34,India,True,True,6000,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
d89022a9a40a38a29ff95a467d75116c,44,United Kingdom,True,True,1579,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
cf951323224f1bb0dafc44a7ca90f1f8,36,united kingdom,True,True,1731,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
dfe74f3072ffc0f6dc0b29fd569a06c4,68,United Kingdom,True,True,1767,False,set_8,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,nonGP_prob,GP_question,,0,subj_obj,,
8f1808745f2dd6e750403a4fb5b0c9b0,22,England,True,True,2174,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
c408d0ade03b5795eaf9cef6ed95618a,34,England,True,True,2679,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
3103cf4577ff90a9bc6f0dc513c95672,27,UK,True,True,2635,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
99b3f3030e932c50c80f33c9e9744030,32,UK,True,True,1421,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
ce594939492d34442e31772aa95745b6,78,England,True,True,2532,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
2876795d3e4e555c62be86a56891ce1f,55,UK,True,True,1027,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
2782fdef346cf6eef5917bf30145971b,53,United Kingdom,True,True,1966,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
5eb802a5a9a107cc742863d3c3796810,57,uk,True,True,1544,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
0f78aa1cdf6b929b19f4c414de069e8f,56,United States ,True,True,1895,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
050d34c3cb7460e88f351cbc8006ba33,45,GB,True,True,1147,True,set_8,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,nonGP_prob,simple_question,,1,subj_obj,,
748024e357f244e92f07a6a4e3a884ab,38,US,True,True,1308,False,set_43,The bar buzzed with activity while the couple left.,Did the couple leave the bar?,nonGP_prob,GP_question,,0,subj_obj,,
f3805d105c8ec250b2b6319b0d7f949d,51,England,True,True,1231,False,set_43,The bar buzzed with activity while the couple left.,Did the couple leave the bar?,nonGP_prob,GP_question,,0,subj_obj,,
7cef6a997af64ea72207b62678a3798b,44,united kingdom,True,True,2008,False,set_43,The bar buzzed with activity while the couple left.,Did the couple leave the bar?,nonGP_prob,GP_question,,0,subj_obj,,
e57276ae6bb7ad86ca38fc3cc0fc779a,49,USA,True,True,1801,False,set_43,The bar buzzed with activity while the couple left.,Did the couple leave the bar?,nonGP_prob,GP_question,,0,subj_obj,,
